match_id,toss_winner,toss_decision
1082633,0,field
1082634,10,field
1082635,4,field
1082636,1,field
1082637,12,field
1082638,6,bat
1082639,1,field
1082640,4,field
1082641,6,field
1082642,4,bat
1082643,10,field
1082644,1,field
1082645,13,field
1082646,0,bat
1082647,6,field
1082648,1,field
1082649,6,field
1082650,6,bat
1136561,3,field
1136562,2,field
1136563,1,field
1136564,10,field
1136565,3,field
1136566,4,field
1136567,10,field
1136568,0,field
1136569,4,field
1136570,10,field
1136571,0,field
1136572,3,field
1136573,4,field
1136574,0,field
1136575,1,field
1136576,2,bat
1136577,5,field
1136578,2,field
1136579,0,field
1136580,10,field
1136581,6,bat
1136582,4,field
1136583,6,field
1136584,3,field
1136585,2,field
1136586,1,field
1136587,6,field
1136588,10,bat
1136589,1,field
1136590,4,field
1136591,6,field
1136592,5,field
1136593,1,field
1136594,6,field
1136595,3,field
1136596,4,bat
1136597,1,field
1136598,2,field
1136599,0,field
1136600,5,bat
1136601,1,field
1136602,4,bat
1136603,3,bat
1136604,2,field
1136605,0,field
1136606,3,field
1136607,5,field
1136608,0,field
1136609,1,field
1136610,2,field
1136611,10,field
1136612,3,field
1136613,5,bat
1136614,10,bat
1136615,4,bat
1136616,3,field
1136617,3,field
1136618,5,field
1136619,1,field
1136620,3,field
1175356,3,field
1175357,1,field
1175358,6,field
1175359,5,field
1175360,14,bat
1175361,2,field
1175362,0,field
1175363,5,bat
1175364,2,field
1175365,14,field
1175366,0,field
1175367,5,field
1175368,14,field
1175369,5,field
1175370,3,field
1175371,10,field
1175372,1,field
1178393,3,bat
1178394,10,field
1178395,14,field
1178396,1,field
1178397,2,field
1178398,3,field
1178399,6,field
1178400,3,field
1178401,14,field
1178402,5,field
1178403,0,field
1178404,3,field
1178405,10,field
1178406,6,field
1178407,5,field
1178408,3,bat
1178409,6,bat
1178410,1,field
1178411,5,field
1178412,14,field
1178413,10,field
1178414,3,field
1178415,14,field
1178416,3,field
1178417,2,field
1178418,5,field
1178419,3,field
1178420,5,field
1178421,14,bat
1178422,6,field
1178423,2,field
1178424,5,field
1178425,14,field
1178426,6,bat
1178427,1,field
1178428,5,bat
1178429,0,field
1178430,2,field
1178431,6,field
1181764,3,bat
1181766,14,field
1181767,3,field
1181768,6,bat
1216492,3,field
1216493,2,field
1216534,10,field
1216496,3,field
1216508,1,field
1216510,0,field
1216539,3,field
1216545,10,bat
1216527,5,field
1216547,6,field
1216532,14,field
1216504,5,field
1216503,2,field
1216516,10,bat
1216514,5,bat
1216515,1,field
1216513,2,bat
1216538,6,bat
1216519,0,field
1216511,6,bat
1216501,1,bat
1216542,10,bat
1216500,5,field
1216523,1,bat
1216525,0,bat
1216507,10,bat
1216529,14,bat
1216540,0,bat
1216528,3,bat
1216543,14,bat
1216531,0,bat
1216526,1,bat
1216509,3,bat
1216522,5,bat
1216512,10,field
1216517,6,bat
1216533,3,bat
1216546,14,bat
1216494,1,bat
1216518,10,field
1216521,6,field
1216497,14,field
1216498,10,field
1216541,6,bat
1216544,0,bat
1216520,2,field
1216524,14,field
1216499,6,field
1216536,3,field
1216537,5,field
1216502,10,field
1216535,6,field
1216506,3,field
1216530,5,field
1216505,14,field
1216495,10,field
1237177,14,field
1237178,10,field
1237180,14,bat
1237181,14,bat
1254058,0,field
1254059,14,field
1254060,10,field
1254061,5,field
1254062,1,field
1254063,10,field
1254064,5,field
1254065,3,field
1254066,6,bat
1254067,0,bat
1254068,14,field
1254069,5,field
1254070,6,bat
1254071,15,bat
1254072,1,field
1254073,0,field
1254074,15,field
1254075,5,field
1254076,3,bat
1254077,14,bat
1254078,1,field
1254079,14,field
1254080,10,bat
1254081,6,field
1254082,14,field
1254083,0,field
1254084,6,field
1254085,10,field
1254086,14,field
1254104,3,bat
1254087,0,bat
1254111,15,field
1254105,10,bat
1254096,1,field
1254113,3,field
1254097,5,field
1254107,10,field
1254098,1,bat
1254108,6,field
1254100,5,bat
1254092,1,field
1254099,6,field
1254103,0,field
1254091,3,field
1254102,15,field
1254089,5,field
1254112,14,field
1254090,0,bat
1254109,10,bat
1254110,14,field
1254093,6,field
1254095,0,field
1254094,15,field
1254106,5,field
1254088,6,bat
1254101,0,field
1254114,3,field
1254115,0,bat
1254116,1,field
1254117,1,field
1304047,1,field
1304048,14,field
1304049,15,field
1304050,17,field
1304051,10,field
